iso_code,location,date,total_cases,,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,total_vaccinations_per_hundred,new_vaccinations_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,24/02/2020,1,1,,,,,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,25/02/2020,1,,,,,,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,26/02/2020,1,,,,,,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,27/02/2020,1,,,,,,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,28/02/2020,1,zero,,,,,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,29/02/2020,1,,0.143,,,0,0.026,0,0.004,,,0,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,1/03/2020,1,,0.143,,,0,0.026,0,0.004,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2/03/2020,1,0,0,,,0,0.026,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,3/03/2020,2,1,0.143,,,0,0.051,0.026,0.004,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,4/03/2020,4,2,0.429,,,0,0.103,0.051,0.011,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,5/03/2020,4,0,0.429,,,0,0.103,0,0.011,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,6/03/2020,4,0,0.429,,,0,0.103,0,0.011,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,1_07/2020,4,0,0.429,,,0,0.103,0,0.011,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,8/03/2020,5,1,0.571,,,0,0.128,0.026,0.015,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,9/03/2020,7,2,0.857,,,0,0.18,0.051,0.022,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,10/03/2020,8,1,0.857,,,0,0.206,0.026,0.022,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,11/03/2020,11,3,1,,,0,0.283,0.077,0.026,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,12/03/2020,12,1,1.143,,,0,0.308,0.026,0.029,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,13/03/2020,13,1,1.286,,,0,0.334,0.026,0.033,,,0,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,14/03/2020,15,2,1.571,,,0,0.385,0.051,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,38.89,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,15/03/2020,16,1,1.571,,,0,0.411,0.026,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,38.89,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
